country,city,accentcity,region,population,latitude,longitude
rs,ablian,Ablián,00,,44.947222,21.370833
rs,abrangje,Abrangjë,00,,42.913889,21.170556
rs,abria e eperme,Abria e Epërme,00,,42.634722,20.789444
rs,abrije e eperme,Abrije e Epërme,00,,42.634722,20.789444
rs,abrije e poshteme,Abrijë e Poshtemë,00,,42.641389,20.753611
rs,abthausen,Abthausen,00,,45.671111,18.984722
rs,acareve,Açarevë,00,,42.65,20.716667
rs,acimija,Acimija,00,,43.739722,19.788333
rs,acimovici,Acimovici,00,,43.882222,19.655278
rs,acina,Açina,00,,42.344722,21.504722
rs,ackovici,Ackovici,00,,43.149444,20.643889
rs,acumincum,Acumincum,00,,45.142778,20.2575
rs,ada,Ada,00,10259,45.8025,20.125833
rs,adam mala,Adam Mala,00,,42.186389,21.278056
rs,adasevci,Adasevci,00,,45.0775,19.221111
rs,adda,Adda,00,,45.8025,20.125833
rs,ade,Ade,00,,42.665833,21.029444
rs,adilovic mahala,Adilovic Mahala,00,,42.713333,21.253889
rs,adimovci,Adimovci,00,,44.008056,19.664167
rs,adorjan,Adorjan,00,,45.997222,20.040278
rs,adrani,Adrani,00,,43.764722,20.635556
rs,adrovac,Adrovac,00,,44.233333,20.966667
rs,adrovici,Adrovici,00,,43.459167,19.6125
rs,adzica mala,Adzica Mala,00,,44.545833,19.441111
rs,adzici,Adzici,00,,42.743056,20.046389
rs,adzine livade,Adzine Livade,00,,43.903889,20.872222
rs,adzini,Adzini,00,,42.344722,21.504722
rs,adzovice,Adzovice,00,,43.218056,21.0925
rs,adzovici,Adzovici,00,,42.709722,20.044167
rs,adzt,Adzt,00,,42.347222,21.538056
rs,agus mahala,Agus Mahala,00,,42.259444,21.114167
rs,agusovic-mahala,Agusovic-Mahala,00,,42.366111,21.224167
rs,ahishta,Ahishta,00,,43.0525,21.060833
rs,ahishte-a,Ahishte-a,00,,42.454444,21.561389
rs,ahishte,Ahishtë,00,,43.0525,21.060833
rs,ahmote,Ahmote,00,,42.336389,21.560833
rs,ajdacici,Ajdacici,00,,43.658056,20.200556
rs,ajdarevic mahala,Ajdarevic Mahala,00,,42.651111,20.941667
rs,ajducica,Ajducica,00,,45.249167,20.957222
rs,ajetovic mahala,Ajetovic Mahala,00,,42.718611,21.248333
rs,ajkobila,Ajkobila,00,,42.733333,21.478333
rs,ajkovila,Ajkovila,00,,42.733333,21.478333
rs,ajnevce,Ajnevce,00,,42.629167,21.546667
rs,ajnovce,Ajnovce,00,,42.629167,21.546667
rs,ajvalija,Ajvalija,00,,42.618056,21.180833
rs,ajvazi,Ajvazi,00,,42.453056,21.345556
rs,akllap,Akllap,00,,42.541389,21.241389
rs,akmacici,Akmacici,00,,43.424167,19.870278
rs,akosnice,Akosnicë,00,,42.606667,21.253056
rs,akrashtice,Akrashticë,00,,42.825278,20.909444
rs,alabak,Alabak,00,,42.794444,21.220833
rs,alabana,Alabana,00,,43.292778,21.348611
rs,alagina reka,Alagina Reka,00,,42.728333,20.159444
rs,alakince,Alakince,00,,42.695833,22.144167
rs,alakinci,Alakinci,00,,42.695833,22.144167
rs,alavandici,Alavandici,00,,43.253056,19.678056
rs,albana e madhe,Albana e Madhe,00,,42.603333,21.020556
rs,albana e vogel,Albana e Vogël,00,,42.606111,21.028333
rs,albanci,Albanci,00,,42.435278,22.1225
rs,albanija,Albanija,00,,43.391389,21.176111
rs,albanik,Albanik,00,,42.856667,21.249444
rs,albaniku,Albaniku,00,,42.856667,21.249444
rs,albona e eperme,Albona e Epërme,00,,43.0075,21.118333
rs,albona e poshtme,Albona e Poshtme,00,,42.988889,21.135278
rs,aldinac,Aldinac,00,,43.529444,22.445556
rs,aldina reka,Aldina Reka,00,,43.451944,22.516944
rs,aldinci,Aldinci,00,,43.529444,22.445556
rs,aleksandrovac,Aleksandrovac,00,,44.445,21.211667
rs,aleksandrov gaj,Aleksandrov Gaj,00,,45.292222,21.136667
rs,aleksandrovo,Aleksandrovo,00,,45.636944,20.592778
rs,aleksa santic,Aleksa Santic,00,,45.930833,19.329722
rs,aleksici,Aleksici,00,,43.018611,21.318611
rs,aleksinac,Aleksinac,02,16652,43.541667,21.707778
rs,aleksinacki bujmir,Aleksinacki Bujmir,00,,43.512778,21.749167
rs,aleksinacki rudnici uglja,Aleksinacki Rudnici Uglja,00,,43.558056,21.691389
rs,aleksine,Aleksine,00,,42.978056,22.289722
rs,aleksino,Aleksino,00,,43.054444,21.409167
rs,alexanderkirchen,Alexanderkirchen,00,,44.739167,20.6975
rs,alibunar,Alibunar,00,3353,45.080833,20.965833
rs,aliderce,Aliderce,00,,42.290833,21.733333
rs,aligerce,Aligerce,00,,42.290833,21.733333
rs,alil-mahala,Alil-Mahala,00,,42.190833,21.213889
rs,alin potok,Alin Potok,00,,43.701389,19.7975
rs,alisbrunn,Alisbrunn,00,,45.080833,20.965833
rs,aliverovice,Aliverovice,00,,43.145278,20.169167
rs,alivit,Alivit,00,,42.340278,21.212778
rs,aljinovice,Aljinovice,00,,43.331944,19.847222
rs,aljinovici,Aljinovici,00,,43.331944,19.847222
rs,aljovic,Aljovic,00,,42.421667,20.8025
rs,aljsic,Aljsic,00,,42.390278,21.602222
rs,aljudovo,Aljudovo,00,,44.506667,21.428889
rs,allaga,Allaga,00,,42.728333,20.159444
rs,allibunar,Allibunar,00,,45.080833,20.965833
rs,almad,Almád,00,,45.078056,21.392222
rs,alsoaradi,Alsóaradi,00,,45.383056,20.301389
rs,alsoittebe,Alsóittebe,00,,45.559444,20.694444
rs,alsokabol,Alsókabol,00,,45.227778,20.021667
rs,alsokovil,Alsókovil,00,,45.227778,20.021667
rs,alt-betsche,Alt-Betsche,00,,45.618889,20.036111
rs,alt-borscha,Alt-Borscha,00,,44.870278,20.458611
rs,alt-etschka,Alt-Etschka,00,,45.293889,20.456667
rs,alt-futok,Alt-Futok,00,,45.241111,19.71
rs,altfuttak,Altfuttak,00,,45.241111,19.71
rs,alt-kanischa,Alt-Kanischa,00,,46.066667,20.05
rs,alt-keer,Alt-Keer,00,,45.453611,19.685833
rs,alt-ker,Alt-Ker,00,,45.453611,19.685833
rs,alt-letz,Alt-Letz,00,,45.283611,20.963056
rs,alt-palanka,Alt-Palanka,00,,44.8425,21.326667
rs,alt-pasua,Alt-Pasua,00,,44.985,20.160833
rs,alt-pazua,Alt-Pazua,00,,44.985,20.160833
rs,alt-sankamen,Alt-Sankamen,00,,45.142778,20.2575
rs,alt-schowe,Alt-Schowe,00,,45.450278,19.619167
rs,alt-sivac,Alt-Sivac,00,,45.704167,19.379722
rs,alt-siwatz,Alt-Siwatz,00,,45.704167,19.379722
rs,alt-stapar,Alt-Stapar,00,,45.661389,19.205
rs,alt-werbass,Alt-Werbass,00,,45.571389,19.640833
rs,altwiesen,Altwiesen,00,,45.453611,19.685833
rs,aluga,Aluga,00,,43.951111,19.367778
rs,aluge,Aluge,00,,43.128611,20.607778
rs,alulovice,Alulovice,00,,43.208333,20.467778
rs,alulovici,Alulovici,00,,43.208333,20.467778
rs,aluraj,Aluraj,00,,42.644444,20.711111
rs,alurevic,Alurevic,00,,42.644444,20.711111
rs,amajic,Amajic,00,,44.319167,19.149167
rs,amarevi,Amarevi,00,,42.645833,22.358889
rs,amatevic mahala,Amatevic Mahala,00,,42.678889,21.289444
rs,ambariste,Ambariste,00,,44.373056,19.197778
rs,americ,Americ,00,,44.472222,20.643889
rs,amjcici,Amjcici,00,,43.473889,19.925833
rs,amzici,Amzici,00,,43.494444,19.845
rs,anallap,Anallap,00,,42.951111,21.156944
rs,anallapi,Anallapi,00,,42.951111,21.156944
rs,analum,Analum,00,,42.555278,21.657222
rs,analumi,Analumi,00,,42.555278,21.657222
rs,andelici,Andelici,00,,43.763889,20.228889
rs,andelinkovci,Andelinkovci,00,,42.456111,22.05
rs,andelkovska mahala,Andelkovska Mahala,00,,42.510556,21.969444
rs,andici,Andici,00,,43.836389,19.695833
rs,andiri,Andiri,00,,43.836389,19.695833
rs,andraca,Andraca,00,,44.434722,19.181667
rs,andrasfoldje,Andrásföldje,00,,45.815,19.636111
rs,andrejevac,Andrejevac,00,,45.383056,20.301389
rs,andrejevac aradac,Andrejevac Aradac,00,,45.383056,20.301389
rs,andrici,Andrici,00,,44.387222,19.699722
rs,androvac,Androvac,00,,42.597778,21.288056
rs,androvce,Androvce,00,,42.597778,21.288056
rs,angelince,Angelince,00,,42.417222,22.164722
rs,anicici,Anicici,00,,43.473889,19.925833
rs,antalfalva,Antalfalva,00,,45.111667,20.621389
rs,antici,Antici,00,,43.191111,21.389722
rs,antonica mala,Antonica Mala,00,,44.531944,19.322778
rs,antonici,Antonici,00,,44.478611,19.218056
rs,anzici,Anzici,00,,43.831111,19.68
rs,apathin,Apathin,00,,45.671111,18.984722
rs,apati,Apati,00,,45.671111,18.984722
rs,apatin,Apatin,02,19677,45.671111,18.984722
rs,apfeldorf,Apfeldorf,00,,44.949444,20.599722
rs,aqareva,Aqareva,00,,42.65,20.716667
rs,aqareve,Aqarevë,00,,42.65,20.716667
rs,arac,Arac,00,,45.598611,20.135556
rs,aracs,Aracs,00,,45.598611,20.135556
rs,aradac,Aradac,00,,45.383056,20.301389
rs,aradatz,Aradatz,00,,45.383056,20.301389
rs,aradaz,Aradaz,00,,45.383056,20.301389
rs,aradec,Aradec,00,,45.383056,20.301389
rs,aradi,Aradi,00,,45.383056,20.301389
rs,aradin,Aradin,00,,42.316389,21.246389
rs,arandelovac,Arandelovac,00,24674,44.306944,20.56
rs,arangjelovac,Arangjelovac,00,,44.306944,20.56
rs,arapovac,Arapovac,00,,44.455,20.388056
rs,arapovice,Arapovice,00,,43.123611,20.254167
rs,arapovici,Arapovici,00,,43.123611,20.254167
rs,arat e gjata,Arat e Gjata,00,,42.714444,20.079722
rs,arbana,Arbana,00,,42.231667,20.719722
rs,arban-a,Arban-a,00,,42.739722,20.369722
rs,arbanas,Arbanas,00,,42.286667,20.698056
rs,arbanasce,Arbanasce,00,,43.273611,21.637778
rs,arbanasci,Arbanasci,00,,43.273611,21.637778
rs,arbanaska,Arbanaska,00,,43.078333,21.438333
rs,arbane,Arbanë,00,,42.231667,20.719722
rs,arbenesh,Arbënesh,00,,42.7275,20.484722
rs,arbeneshi,Arbëneshi,00,,42.7275,20.484722
rs,arbnia,Arbnia,00,,42.695,20.338611
rs,arbulici,Arbulici,00,,43.418889,20.365
rs,ardesh,Ardesh,00,,42.053333,20.7
rs,ardeshi,Ardeshi,00,,42.053333,20.7
rs,ardian,Ardian,00,,42.623889,20.460833
rs,ardiani,Ardiani,00,,42.623889,20.460833
rs,ariliaca,Ariliaca,00,,42.584167,21.001944
rs,ariljaca,Ariljaca,00,,42.584167,21.001944
rs,arilje,Arilje,02,6921,43.753056,20.095556
rs,aritonova mahala,Aritonova Mahala,00,,42.332778,21.863333
rs,arkod,Árkod,00,,45.268889,20.758333
rs,arlat,Arlat,00,,42.551389,20.835278
rs,arllat,Arllat,00,,42.551389,20.835278
rs,arllati,Arllati,00,,42.551389,20.835278
rs,arnajevo,Arnajevo,00,,44.501111,20.375556
rs,arnautovici,Arnautovici,00,,43.979722,19.990278
rs,arnaut polje,Arnaut Polje,00,,43.250833,19.682778
rs,arnautska mahala,Arnautska Mahala,00,,42.5375,22.448333
rs,arpatarlo,Árpatarló,00,,45.008056,19.822222
rs,arpataro,Árpataró,00,,45.008056,19.822222
rs,arrishta,Arrishta,00,,42.665278,20.357222
rs,arrnjet,Arrnjet,00,,42.5075,20.317778
rs,arrnjeti,Arrnjeti,00,,42.5075,20.317778
rs,arsenovici,Arsenovici,00,,44.521667,19.4775
rs,arsici,Arsici,00,,43.33,21.16
rs,artana,Artana,00,,42.617778,21.419722
rs,artane,Artanë,00,,42.617778,21.419722
rs,arucevic,Arucevic,00,,42.638611,20.717778
rs,asance mahala,Asance Mahala,00,,42.318889,21.150556
rs,asane,Asane,00,,42.273333,21.735833
rs,asani,Asani,00,,42.273333,21.735833
rs,asanja,Asanja,00,,44.755556,20.082222
rs,asanovac,Asanovac,00,,43.137778,21.645556
rs,asanovo selo,Asanovo Selo,00,,43.450278,20.382222
rs,ashlan,Ashlan,00,,42.809444,20.873333
rs,asmansha mahala,Asmansha Mahala,00,,42.31,21.594722
rs,asmanska mahala,Asmanska Mahala,00,,42.309722,21.601389
rs,astrazub,Astrazub,00,,42.448333,20.7
rs,astrozub,Astrozub,00,,42.448333,20.7
rs,ategan mahala,Ategan Mahala,00,,42.533056,21.945833
rs,atenica,Atenica,00,,43.858333,20.357778
rs,atmada,Atmada,00,,42.242778,20.681667
rs,atmadza,Atmadza,00,,42.242778,20.681667
rs,atmagje,Atmagjë,00,,42.242778,20.681667
rs,avala,Avala,00,,44.425833,19.928889
rs,avdijevic mahala,Avdijevic Mahala,00,,42.406667,20.938889
rs,avdovi,Avdovi,00,,43.4275,19.616111
rs,avramovica mala,Avramovica Mala,00,,44.539167,19.438611
rs,avramovici,Avramovici,00,,44.46,19.236944
rs,azanja,Azanja,00,4603,44.433056,20.879722
rs,azbresnica,Azbresnica,00,,43.357222,21.696111
rs,azemovic mahala,Azemovic Mahala,00,,42.413056,20.984722
rs,azir mahala,Azir Mahala,00,,42.275556,21.535833
